latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-22.39881,45.62727,341.52,0.39,0.36,2023-04-11,1032,N20,VIIRS,n,2.0NRT,300.8,4.31,D
-19.91493,45.63441,333.15,0.39,0.36,2023-04-11,1034,N20,VIIRS,l,2.0NRT,304.21,1.95,D
-20.03521,44.81341,340.78,0.4,0.37,2023-04-11,1034,N20,VIIRS,n,2.0NRT,300.79,4.99,D
-20.03239,44.80906,342.44,0.4,0.37,2023-04-11,1034,N20,VIIRS,n,2.0NRT,304.78,4.99,D
-20.05143,44.79659,335.29,0.4,0.37,2023-04-11,1034,N20,VIIRS,n,2.0NRT,302.92,3.12,D
-20.29652,44.42587,335.9,0.41,0.37,2023-04-11,1034,N20,VIIRS,n,2.0NRT,303.64,2.74,D
-20.1482,45.86614,336.02,0.38,0.36,2023-04-11,1034,N20,VIIRS,n,2.0NRT,300.05,3.46,D
-20.35298,44.49463,330.44,0.41,0.37,2023-04-11,1034,N20,VIIRS,l,2.0NRT,302.77,3.27,D
-20.35645,44.51901,330.89,0.41,0.37,2023-04-11,1034,N20,VIIRS,n,2.0NRT,300.86,4.21,D
-20.59537,44.46083,341.17,0.41,0.37,2023-04-11,1034,N20,VIIRS,n,2.0NRT,302.98,15.76,D
-19.91879,45.12955,330.31,0.39,0.36,2023-04-11,1034,N20,VIIRS,n,2.0NRT,301.75,1.41,D
-20.77392,44.92476,332.38,0.4,0.37,2023-04-11,1034,N20,VIIRS,l,2.0NRT,305.59,3.04,D
-20.77675,45.81041,333.08,0.39,0.36,2023-04-11,1034,N20,VIIRS,n,2.0NRT,302.34,2.23,D
-20.89634,44.45616,339.78,0.41,0.37,2023-04-11,1034,N20,VIIRS,n,2.0NRT,303.83,4.44,D
-21.22449,44.43092,337.59,0.41,0.37,2023-04-11,1034,N20,VIIRS,n,2.0NRT,302.24,4.66,D
-21.04748,45.67739,331.07,0.39,0.36,2023-04-11,1034,N20,VIIRS,l,2.0NRT,304.39,2.11,D
-21.00717,46.21796,337.87,0.38,0.36,2023-04-11,1034,N20,VIIRS,n,2.0NRT,304.72,3.42,D
-21.24965,46.11602,344.83,0.38,0.36,2023-04-11,1034,N20,VIIRS,n,2.0NRT,302.44,8.9,D
-20.02685,44.77037,338.43,0.44,0.46,2023-04-12,1013,N20,VIIRS,n,2.0NRT,289.46,3.24,D
-20.03986,45.37297,351.8,0.41,0.45,2023-04-12,1013,N20,VIIRS,n,2.0NRT,300.83,5.85,D
-20.08103,45.47125,347.16,0.4,0.44,2023-04-12,1013,N20,VIIRS,n,2.0NRT,304.06,5.94,D
-20.12939,45.55171,334.93,0.4,0.44,2023-04-12,1013,N20,VIIRS,n,2.0NRT,298.96,1.56,D
-20.37875,45.91315,337.63,0.57,0.43,2023-04-12,1013,N20,VIIRS,n,2.0NRT,291.21,8.35,D
-21.58382,44.40018,340.63,0.49,0.48,2023-04-12,1013,N20,VIIRS,n,2.0NRT,296.6,4.78,D
-20.89579,46.32089,332.54,0.37,0.58,2023-04-13,0956,N20,VIIRS,n,2.0NRT,295.67,3.44,D
-20.8977,46.32073,330.52,0.36,0.58,2023-04-13,0956,N20,VIIRS,n,2.0NRT,295.54,3.41,D
-21.49083,45.91652,330.43,0.39,0.6,2023-04-13,0956,N20,VIIRS,n,2.0NRT,297.37,1.99,D
-22.3137,44.67094,352.62,0.63,0.72,2023-04-13,1136,N20,VIIRS,n,2.0NRT,296.96,9.78,D
-20.9439,44.47472,334.06,0.66,0.73,2023-04-13,1136,N20,VIIRS,n,2.0NRT,293.94,4.21,D
-22.2574,44.65509,336.12,0.63,0.72,2023-04-13,1136,N20,VIIRS,n,2.0NRT,295.99,7.83,D
-22.30985,44.66881,349.32,0.63,0.72,2023-04-13,1136,N20,VIIRS,n,2.0NRT,297.01,12.89,D
-20.83009,46.31732,367,0.44,0.62,2023-04-14,1115,N20,VIIRS,h,2.0NRT,295.31,20.16,D
-22.14585,44.98067,331.86,0.34,0.56,2023-04-14,1115,N20,VIIRS,n,2.0NRT,300.08,2.23,D
-21.78459,45.80116,333.9,0.39,0.59,2023-04-14,1115,N20,VIIRS,n,2.0NRT,299.12,5.1,D
-21.78352,45.8009,335.27,0.39,0.59,2023-04-14,1115,N20,VIIRS,n,2.0NRT,298.89,4.95,D
-21.02308,46.37534,330.84,0.44,0.62,2023-04-14,1115,N20,VIIRS,n,2.0NRT,297.21,1.55,D
-21.02204,46.37377,335.92,0.44,0.62,2023-04-14,1115,N20,VIIRS,n,2.0NRT,298.38,2.58,D
